번호,입력일,"쉬움: 1
어려움: 2",내가 모은 영어 문장,한글 뜻,메모,,,,,,,,,,,,,,,,
111,260102,,abre,open,동사 abrir (열다)의 명령형(2인칭 단수 tú),,,,,,,,,,,,,,,,
112,260102,,abrir,open,열다,,,,,,,,,,,,,,,,
113,260102,,abrelo,open it,그것을 열어,,,,,,,,,,,,,,,,
114,260102,,"me/te/lo,la/nos/os/los,las","me/te/lo,la/nos/os/los,las",직접목적대명사,,,,,,,,,,,,,,,,
115,260102,,Lily abre el regalo,Lily opens the gift,Lily open the gift,,,,,,,,,,,,,,,,
116,260102,,A dónde puedo ir con trece dólares?,Where can I go with thirteen dollars?,13달러로 어디에 갈 수 있을까?,,,,,,,,,,,,,,,,
117,260102,,"ir 
(voy/vas/va/vamos/vais/van)","go
(I go/you go/he/she/we go/you all go/they go)",가다,,,,,,,,,,,,,,,,
118,260102,,"poder 
(puedo/puedes/puede/podemos/podeis/pueden)","power
(I can/you can/he/she/it can/we can/you all can/they can)",할수있다,,,,,,,,,,,,,,,,
119,260102,,Voy a la tienda,I'm going to the store,나는 가게에 간다,,,,,,,,,,,,,,,,
120,260102,,¿A dónde vas?,Where are you going?,너 어디가,,,,,,,,,,,,,,,,
121,260102,,Puedo hablar español.,I can speak Spanish.,스페인어 할수있어,,,,,,,,,,,,,,,,
122,260102,,¿Puedes ayudarme?,Can you help me?,나 도와줄수 있어,,,,,,,,,,,,,,,,
123,260102,,hacer(hago/haces/hace/hacemos/haceis/hacen),to do (I do/you do/he/she/we do/you all do/they do),하다,,,,,,,,,,,,,,,,
124,260102,,Que haces,What are you doing,뭐하고 있어,,,,,,,,,,,,,,,,
125,260102,,¿Qué haces ahora?”,"What are you doing now?""",지금 뭐해,,,,,,,,,,,,,,,,
126,260102,,enero,January,1월,,,,,,,,,,,,,,,,
127,260102,,febrero,February,2월,,,,,,,,,,,,,,,,
128,260102,,marzo,March,3월,,,,,,,,,,,,,,,,
129,260102,,abril,April,4월,,,,,,,,,,,,,,,,
130,260102,,mayo,May,5월,,,,,,,,,,,,,,,,
131,260102,,junio,June,6월,,,,,,,,,,,,,,,,
132,260102,,julio,July,7월,,,,,,,,,,,,,,,,
133,260102,,agosto,August,8월,,,,,,,,,,,,,,,,
134,260102,,septiembre,September,9월,,,,,,,,,,,,,,,,
135,260102,,octubre,October,10월,,,,,,,,,,,,,,,,
136,260102,,noviembre,November,11월,,,,,,,,,,,,,,,,
137,260102,,diciembre,December,12월,,,,,,,,,,,,,,,,
138,260102,,¿Qué día es hoy?,What day is today?,오늘 무슨 요일이야,,,,,,,,,,,,,,,,
139,260102,,Hoy es lunes,Today is Monday,"오늘은 월요일입니다,",,,,,,,,,,,,,,,,
140,260102,, ¿Cuál es la fecha de hoy? ,What is today's date?,오늘은 무슨날짜인가요?,,,,,,,,,,,,,,,,
141,260102,,Hoy es el 9 de enero de 2025,"Today is January 9, 2025",오늘은 2025년 1월 9일이에요.,,,,,,,,,,,,,,,,
142,260102,,¿Cuándo es tu cumpleaños? ,When is your birthday? ,생일이 언제에요,,,,,,,,,,,,,,,,
143,260102,,Mi cumpleaños es el 25 de diciembre. ,My birthday is December 25th.,"내 생일은 12월 25일입니다,",,,,,,,,,,,,,,,,
144,260102,,Uno (우노),One (우노),1,,,,,,,,,,,,,,,,
145,260102,,Dos (도쓰),Two (도쓰),2,,,,,,,,,,,,,,,,
146,260102,,Tres (뜨레스),Three (뜨레스),3,,,,,,,,,,,,,,,,
147,260102,,Cuatro (꾸아뜨로),Four (꾸아뜨로),4,,,,,,,,,,,,,,,,
148,260102,,Cinco (씬꼬),Five (씬꼬),5,,,,,,,,,,,,,,,,
149,260102,,Seis (쎄이쓰),Six (쎄이쓰),6,,,,,,,,,,,,,,,,
150,260102,,Siete (씨에떼),Seven (씨에떼),7,,,,,,,,,,,,,,,,
151,260102,,Ocho (오쵸),Eight (오쵸),8,,,,,,,,,,,,,,,,
152,260102,,Nueve (누에베),Nine (누에베),9,,,,,,,,,,,,,,,,
153,260102,,Diez (디에즈),Ten (디에즈),10,,,,,,,,,,,,,,,,
154,260102,,Once (온쎄),Eleven (온쎄),11,,,,,,,,,,,,,,,,
155,260102,,Doce (도쎄),Twelve (도쎄),12,,,,,,,,,,,,,,,,
156,260102,,Trece (뜨레쎄),Thirteen (뜨레쎄),13,,,,,,,,,,,,,,,,
157,260102,,Catorce (까토르쎼),Fourteen (까토르쎼),14,,,,,,,,,,,,,,,,
158,260102,,Quince (뀐쎄),Fifteen (뀐쎄),15,,,,,,,,,,,,,,,,
159,260102,,Diez y seis (디에즈 이 쎄이쓰 ),Sixteen (디에즈이쎄이쓰),16,,,,,,,,,,,,,,,,
160,260102,,Diez y sIete (디에즈 이 씨에떼),Ten and seven (디에즈 이 씨에떼),17,,,,,,,,,,,,,,,,
161,260102,,Diez y Ocho (디에즈 이 오쵸),Ten and Eight (디에즈 이 오쵸),18,,,,,,,,,,,,,,,,
162,260102,,Diez y Nueve (디에즈 이 누에베),Ten and Nine (디에즈 이 누에베),19,,,,,,,,,,,,,,,,
163,260102,,Viente (비엔떼),Wind (비엔떼),20,,,,,,,,,,,,,,,,
164,260102,,Treinta (뜨레인따),Thirty (뜨레인따),30,,,,,,,,,,,,,,,,
165,260102,,Cuarenta (꾸아렌따),Forty (꾸아렌따),40,,,,,,,,,,,,,,,,
166,260102,,Cincuenta (씬꾸엔따),Fifty (씬꾸엔따),50,,,,,,,,,,,,,,,,
167,260102,,Sesenta (쎄쎈따),Sixty (쎄쎈따),60,,,,,,,,,,,,,,,,
168,260102,,Setrenta (쎄트렌따),Seventy (쎄트렌따),70,,,,,,,,,,,,,,,,
169,260102,,Ochenta (오첸따),Eighty (오첸따),80,,,,,,,,,,,,,,,,
170,260102,,Noventa (노벤따),Ninety (노벤따),90,,,,,,,,,,,,,,,,
171,260102,,Ciento (씨엔토),One Hundred (씨엔토),100,,,,,,,,,,,,,,,,
172,260102,,Doscientos (도쓰씨엔토쓰),Two hundred (도쓰씨엔토쓰),200,,,,,,,,,,,,,,,,
173,260102,,Trescientos (뜨레쓰씨엔토쓰),Three hundred (뜨레쓰씨엔토쓰),300,,,,,,,,,,,,,,,,
174,260102,,Cuatrocientos (쿠아트로씨엔토쓰),Four hundred (쿠아트로씨엔토쓰),400,,,,,,,,,,,,,,,,
175,260102,,★ Quinientos (뀌니엔토쓰) ,★ Five hundred (뀌니엔토쓰) ,500,,,,,,,,,,,,,,,,
176,260102,,Seiscientos (쎄이스시엔토쓰),Six hundred (쎄이스시엔토쓰),600,,,,,,,,,,,,,,,,
177,260102,,Setecientos (쎄떼시엔토쓰) ★,Seven hundred (쎄떼시엔토쓰) ★,700,,,,,,,,,,,,,,,,
178,260102,,Ochocientos (오쵸씨엔토쓰),Eight hundred (오쵸씨엔토쓰),800,,,,,,,,,,,,,,,,
179,260102,,Novecientos (노페씨엔토쓰) ★,Nine hundred (노페씨엔토쓰) ★,900,,,,,,,,,,,,,,,,
180,260102,,Trescientos Sesenta y Cinco ,Three Hundred and Sixty-Five,365,,,,,,,,,,,,,,,,
181,260102,,Ochocientos uno,Eight hundred and one,801,,,,,,,,,,,,,,,,
182,260102,,Cuarenta y Cuatro,Forty-four,44,,,,,,,,,,,,,,,,
183,260102,,Quinientos Once ,Five Hundred and Eleven,511,,,,,,,,,,,,,,,,
184,260102,,Doscientos Treinta y Cuatro ,Two Hundred and Thirty-Four,234,,,,,,,,,,,,,,,,
185,260102,,cansada,tired,tired,,,,,,,,,,,,,,,,
186,260102,,ocupado,busy,busy,,,,,,,,,,,,,,,,
187,260102,,mal,evil,unwell,,,,,,,,,,,,,,,,
188,260102,,pescado,fish,fish,,,,,,,,,,,,,,,,
189,260102,,sal,salt,salt,,,,,,,,,,,,,,,,
190,260102,,sin,without,without,,,,,,,,,,,,,,,,
191,260102,,muy,very,much,,,,,,,,,,,,,,,,
192,260102,,alto,high,tall,,,,,,,,,,,,,,,,
193,260102,,bajo,low,short,,,,,,,,,,,,,,,,
194,260102,,mascota,pet,pet,,,,,,,,,,,,,,,,
195,260102,,simpatico,sympathetic,nice,,,,,,,,,,,,,,,,
196,260102,,aprender,learn,learn,,,,,,,,,,,,,,,,
197,260102,,Yo aprendo español.,I am learning Spanish.,I am learing spanish,,,,,,,,,,,,,,,,
198,260102,,¿Qué aprendes en la escuela?,What do you learn at school?,what are you learing in school,,,,,,,,,,,,,,,,
199,260102,,pequena,small,small,,,,,,,,,,,,,,,,
200,260102,,mano,hand,hand,,,,,,,,,,,,,,,,
201,260102,,limpio,clean,clean,,,,,,,,,,,,,,,,
202,260102,,preguntale cuanto cuesta,Ask him how much it costs,ask her/him how much it is,,,,,,,,,,,,,,,,
203,260102,,perro,dog,dog,,,,,,,,,,,,,,,,
204,260102,,platano,banana,banana,,,,,,,,,,,,,,,,
205,260102,,novio,boyfriend,boy friend,,,,,,,,,,,,,,,,
206,260102,,camarero,waiter,waiter,,,,,,,,,,,,,,,,
207,260102,,cocina,kitchen,kitchen,,,,,,,,,,,,,,,,
208,260102,,sala,hall,room,,,,,,,,,,,,,,,,
209,260102,,juan la ve,Juan sees her,Juan see her/it,,,,,,,,,,,,,,,,
210,260102,,No lo comas,Don't eat it,Don't eat it,,,,,,,,,,,,,,,,
211,260102,,triste,sad,sad,,,,,,,,,,,,,,,,
212,260102,,emocionada,moved,excited,,,,,,,,,,,,,,,,
213,260102,,conmigo ,with me ,with me,,,,,,,,,,,,,,,,
214,260102,,contigo,with you,with you,,,,,,,,,,,,,,,,
215,260102,,siempre,always,always,,,,,,,,,,,,,,,,
216,260102,,vivir,live,live,,,,,,,,,,,,,,,,
217,260102,,enojada,annoyed,angry,,,,,,,,,,,,,,,,
218,260102,,manana,tomorrow,"morning, tommorow",,,,,,,,,,,,,,,,
219,260102,,preocupada,worried,worried,,,,,,,,,,,,,,,,
220,260102,,aburrido,bored,bored,,,,,,,,,,,,,,,,
221,260102,,Estoy aburrido.,I'm bored., I am bored,,,,,,,,,,,,,,,,
222,260102,,disfrutar,enjoy,enjoy,,,,,,,,,,,,,,,,
223,260102,,dormir,sleep,sleep,,,,,,,,,,,,,,,,
224,260102,,nunca,never,never,,,,,,,,,,,,,,,,
225,260102,,a veces,sometimes,sometimes,,,,,,,,,,,,,,,,
226,260102,,contenta,happy,happy,,,,,,,,,,,,,,,,
227,260102,,sientes,you feel,feel,,,,,,,,,,,,,,,,
228,260102,,me siento cansada hoy,I feel tired today,I feel tired today,,,,,,,,,,,,,,,,
229,260102,,soprendido,surprised,surprised,,,,,,,,,,,,,,,,
230,260102,,"a veces me siento un poco 
cansado en la manana",Sometimes I feel a little tired in the morning.,sometimes I feel tired in the morning,,,,,,,,,,,,,,,,
231,260102,,la derecha,the right,the right,,,,,,,,,,,,,,,,
232,260102,,la izquierda,the left,the left,,,,,,,,,,,,,,,,
233,260102,,Quieres tomar un taxi,Do you want to take a taxi?,Do you want to take a taxi,,,,,,,,,,,,,,,,
234,260102,,supermercado,supermarket,supermarket,,,,,,,,,,,,,,,,
235,260102,,lejos,far,far,,,,,,,,,,,,,,,,
236,260102,,cerca,near,close,,,,,,,,,,,,,,,,
237,260102,,parada,stop,stop,,,,,,,,,,,,,,,,
238,260102,,al lado del,next to the,next to,,,,,,,,,,,,,,,,
239,260102,,Nostotros estamos al lado del cafe.,We are next to the cafe.,we are next to the cafe,,,,,,,,,,,,,,,,
240,260102,,La puerta,The door,the door,,,,,,,,,,,,,,,,
241,260102,,el parque,the park,the park,,,,,,,,,,,,,,,,
242,260102,,El aeropurto,The airport,airport,,,,,,,,,,,,,,,,
243,260102,,disculpe,excuse me,excuse me,,,,,,,,,,,,,,,,
244,260102,,divertida,fun,fun,,,,,,,,,,,,,,,,
245,260102,,perro,dog,dog,,,,,,,,,,,,,,,,
246,260102,,jugadora,player,player,,,,,,,,,,,,,,,,
247,260102,,Frio,Cold,cold,,,,,,,,,,,,,,,,
248,260102,,Hace frio hoy,It's cold today,it is cold today,,,,,,,,,,,,,,,,
249,260102,,Quizas,Maybe,perhaps,,,,,,,,,,,,,,,,
250,260102,,"volver(vuelvo, vuelves, vuelve)","return (I return, you return, he/she/it returns)","return, come back",,,,,,,,,,,,,,,,
251,260102,,"salir(salgo, sales, sale)","to leave (I leave, you leave, he/she/it leaves)",나가다,,,,,,,,,,,,,,,,
252,260102,,Emocionada,Moved,excited,,,,,,,,,,,,,,,,
253,260102,,preocupada,worried,worried,,,,,,,,,,,,,,,,
254,260102,,enfermo,sick,sick,,,,,,,,,,,,,,,,
255,260102,,triste,sad,sad,,,,,,,,,,,,,,,,
256,260102,,a veces,sometimes,sometimes,,,,,,,,,,,,,,,,
257,260102,,simpatica,nice,nice,,,,,,,,,,,,,,,,
258,260102,,"Que tengas un buen día ✨ 
¡Hasta mañana!",Have a great day! ✨ See you tomorrow!,"Que + 접속법 (subjuntivo) → “~하기를 바라다 / ~하면 좋겠다”라는 뜻을 만들어요.
tener 동사 (가지다)의 접속법 현재형 2인칭 단수 → tengas
un buen día → 좋은 하루
즉, 직역하면 → “네가 좋은 하루를 가지기를 (바란다)”",,,,,,,,,,,,,,,,
259,260102,,sabes nadar,Do you know how to swim?,do you know how to swim,,,,,,,,,,,,,,,,
260,260102,,Para que? Tu no sabes nadar,Why? You don't know how to swim.,what for? you don't know how to swim,,,,,,,,,,,,,,,,
261,260102,,Tu sabes manejar,You know how to drive,do you know how to drive,,,,,,,,,,,,,,,,
262,260102,,nadar,swim,swim,,,,,,,,,,,,,,,,
263,260102,,manejar,drive,drive,,,,,,,,,,,,,,,,
264,260102,,lugar,place,"location, place",,,,,,,,,,,,,,,,
265,260102,,cocina,kitchen,cook,,,,,,,,,,,,,,,,
266,260102,,comida,meal,food,,,,,,,,,,,,,,,,
267,260102,,carnes,meats,meats,,,,,,,,,,,,,,,,
268,260102,,palabra,word,word,,,,,,,,,,,,,,,,
269,260102,,edad,age,age,,,,,,,,,,,,,,,,
270,260102,,cantar,sing,sing,,,,,,,,,,,,,,,,
271,260102,,canciones,songs,song,,,,,,,,,,,,,,,,
272,260102,,mismo/a,same,same,,,,,,,,,,,,,,,,
273,260102,,Come se dice ‘agua por favor’ en inglés,How do you say ‘water please’ in English?,"do you know how to say ""agua por favor"" in English",,,,,,,,,,,,,,,,
274,260102,,decir(digo/dices/dice),say (say/say/say),말하다.,,,,,,,,,,,,,,,,
275,260102,,entender,understand,understand,,,,,,,,,,,,,,,,
276,260102,,empezar,begin,start,,,,,,,,,,,,,,,,
277,260102,,respuesta,answer,answer,,,,,,,,,,,,,,,,
278,260102,,Yo se cuando vas a mexico,I know when you're going to Mexico,I know when you are going to mexice,,,,,,,,,,,,,,,,
279,260102,,Que quieres saber,What do you want to know,what do you want to know ,,,,,,,,,,,,,,,,
280,260102,,No entendemos estas palabras,We don't understand these words,We don't understand these words,,,,,,,,,,,,,,,,
281,260102,,No lo se,Don't know,I don't know,,,,,,,,,,,,,,,,
282,260102,,sabes quien es aquel hombre?,Do you know who that man is?,너는 저 남자가 누군지 알아,,,,,,,,,,,,,,,,
283,260102,,Come se dice perro en aleman,How do you say dog ​​in German?,How do you say dog in german,,,,,,,,,,,,,,,,
284,260102,,interesante,interesting,interesting,,,,,,,,,,,,,,,,
285,260102,,museo,museum,museum,,,,,,,,,,,,,,,,
286,260102,,pinturas,paintings,painting,,,,,,,,,,,,,,,,
287,260102,,viajar,travel,travel,,,,,,,,,,,,,,,,
288,260102,,Nos interesa hacer otras cosas,We're interested in doing other things,We are interested in doing other things,,,,,,,,,,,,,,,,
289,260102,,preferido,favorite,선호하는,,,,,,,,,,,,,,,,
290,260102,,favorita,favorite,좋아하는,,,,,,,,,,,,,,,,
291,260102,,cuales son tus camisetas favoritas?,What are your favorite t-shirts?,What are your favorite T-shitrs?,,,,,,,,,,,,,,,,
292,260102,,Que asignatura te gusta?,What subject do you like?,what subject do you like?,,,,,,,,,,,,,,,,
293,260102,,Que es esto?,What is this?,what is this?,,,,,,,,,,,,,,,,
294,260102,,Creer(Creo/crees/cree) ,Believe (I believe/you believe/he believes),I think / I believe,,,,,,,,,,,,,,,,
295,260102,,Creo que tienes razón.,I think you're right.,→ 네가 맞는 것 같아. (I think you’re right.),,,,,,,,,,,,,,,,
296,260102,,Creo que + 문장 ,I think + 문장 ,“~라고 생각해요”,,,,,,,,,,,,,,,,
297,260102,,Creo que es buena idea.,I think it's a good idea.,→ 좋은 생각인 것 같아요.,,,,,,,,,,,,,,,,
298,260102,,Creo en Dios.,I believe in God.,→ 나는 하나님을 믿어요. (I believe in God.),,,,,,,,,,,,,,,,
299,260102,,pasear,sightseeing,walk,,,,,,,,,,,,,,,,
300,260102,,Quieres pasear por el parque,Do you want to take a walk in the park?,“공원에서 산책하고 싶어?”,,,,,,,,,,,,,,,,
301,260102,,por ,by ,"~을, ~주변에서",,,,,,,,,,,,,,,,
302,260102,,Es demasiado peligroso,It's too dangerous,it is too dangerous,,,,,,,,,,,,,,,,
303,260102,,No puedo,Can't,I can't,,,,,,,,,,,,,,,,
304,260102,,Si puedes,Yes you can,yes you can,,,,,,,,,,,,,,,,
305,260102,,No te preocupes,Don't worry,don't worry,,,,,,,,,,,,,,,,
306,260102,,Tengo miedo,I'm afraid,I am afraid,,,,,,,,,,,,,,,,
307,260102,,No quiero ir,I don't want to go,I don't want to go,,,,,,,,,,,,,,,,
308,260102,,Vamos a estar bien,We're going to be okay,we are going to be fine,,,,,,,,,,,,,,,,
309,260102,,Como sabes eso,How do you know that?,How do you know that,,,,,,,,,,,,,,,,
310,260102,,Bueno. mucha gente lo hace,"Well, a lot of people do it.",well. many people do it ,,,,,,,,,,,,,,,,
311,,,todo va a estar bien,Everything will be alright,everything is going to be fine,,,,,,,,,,,,,,,,
312,,,"yo estoy aqui contigo y
vamos a ir juntas","I'm here with you and
we're going to go together",I am here with you and we are going to go together,,,,,,,,,,,,,,,,
313,,,Eres una buena amiga,You're a good friend,you are a good friend,,,,,,,,,,,,,,,,
314,,,creo que estoy lista,I think I'm ready,I think that I am ready,,,,,,,,,,,,,,,,
315,,,"Vas a montarte en la montana
rusa o no?",Are you going to ride the roller coaster or not?,are you going to ride the rollercoaster or not?,,,,,,,,,,,,,,,,
316,,,Hay mucha gente esperando,There are many people waiting.,there are a lot of people waiting,,,,,,,,,,,,,,,,
317,,,"Esta es la montana rusa mas alta
y mas vieja del pais",This is the tallest and oldest roller coaster in the country.,this is the tallest and oldest roller coaster at the country,,,,,,,,,,,,,,,,
318,,,Espera,Wait,wait ,,,,,,,,,,,,,,,,
319,,,La mas alta y la mas vieja,The tallest and the oldest,the tallest and the oldest,,,,,,,,,,,,,,,,
320,,,Lo voy a hacer,I'm going to do it,I am going to do it,,,,,,,,,,,,,,,,
321,,,Porque corres?,Why are you running?,Why are you running?,,,,,,,,,,,,,,,,
322,,,A donde vas?,Where are you going?,Where are you going?,,,,,,,,,,,,,,,,
323,,,Esta silla es menoda comoda,This chair is less comfortable,this chair is less comfortable,,,,,,,,,,,,,,,,
324,,,Esta chaqueta es mas bonita,This jacket is prettier,this jacket is prettier,,,,,,,,,,,,,,,,
325,,,gorra,cap,cap,,,,,,,,,,,,,,,,
326,,,amarilla,yellow,yellow,,,,,,,,,,,,,,,,
